9.126150	9.126150	
10.291520	10.291520	
11.423493	11.423493	
12.511928	12.511928	
13.687438	13.687438	
14.819411	14.819411	
15.994921	15.994921	
17.126894	17.126894	
18.258867	18.258867	
19.419865	19.419865	
20.556883	20.556883	
21.732221	21.732221	
22.888345	22.888345	
24.092880	24.092880	
25.281279	25.281279	
25.423395	25.423395	
25.542465	25.542465	
28.023733	28.023733	
29.230295	29.230295	
30.333243	30.333243	
31.465216	31.465216	
32.640726	32.640726	
33.801724	33.801724	
35.020772	35.020772	
36.138232	36.138232	
37.342767	37.342767	
38.431202	38.431202	
39.621225	39.621225	
40.825760	40.825760	
41.943221	41.943221	
43.046168	43.046168	
44.201908	44.201908	
45.324627	45.324627	
46.514649	46.514649	
47.762722	47.762722	
48.865670	48.865670	
50.012155	50.012155	
51.086078	51.086078	
52.305125	52.305125	
53.454810	53.454810	
54.699683	54.699683	
55.860681	55.860681	
56.992654	56.992654	
58.153651	58.153651	
59.314649	59.314649	
60.504672	60.504672	
61.593107	61.593107	
62.726917	62.726917	
63.886078	63.886078	
65.105125	65.105125	
66.208073	66.208073	
67.369071	67.369071	
68.588119	68.588119	
69.694441	69.694441	
70.968164	70.968164	
72.085624	72.085624	
73.217597	73.217597	
74.365063	74.365063	
75.540401	75.540401	
76.700590	76.700590	
77.852666	77.852666	
78.993561	78.993561	
80.169071	80.169071	
81.359094	81.359094	
82.476554	82.476554	
83.637552	83.637552	
84.769524	84.769524	
85.945035	85.945035	
87.077007	87.077007	
88.281543	88.281543	
89.428028	89.428028	
90.560001	90.560001	
91.677461	91.677461	
92.896509	92.896509	
94.072019	94.072019	
95.247529	95.247529	
96.408403	96.408403	
97.637514	97.637514	
98.817597	98.817597	
99.993107	99.993107	
101.168617	101.168617	
102.358640	102.358640	
103.534150	103.534150	
104.680636	104.680636	
105.783583	105.783583	
107.046168	107.046168	
108.163629	108.163629	
109.295602	109.295602	
110.543674	110.543674	
111.675647	111.675647	
112.822132	112.822132	
113.997642	113.997642	
115.115103	115.115103	
116.290613	116.290613	
117.495148	117.495148	
118.772246	118.772246	
119.834492	119.834492	
120.748644	120.748644	
121.221083	121.221083	
121.877890	121.877890	
122.676100	122.676100	
124.850802	124.850802	
127.608620	127.608620	
127.735372	127.735372	
127.900590	127.900590	
